Day,Appeal,Device,LS/RT/AT,Media,Structure/Menu,Recency/Segment,Impressions,Clicks,CV,Media Cost Margin,Google_AdRank,Yahoo!_AdRank
2018/2/5,03_口座開設一般,PC,RT,YDN,S2.コンテンツ離脱,4日～7日,460 ,0 ,,0 ,,
2018/2/5,05_海外への送金,PC,Listing,Google,,,4 ,0 ,,0 ,5 ,
2018/2/5,05_海外への送金,PC,Listing,Google,-,-,812 ,27 ,,11285 ,2 ,
2018/2/5,05_海外への送金,SP,Listing,Google,-,-,1070 ,38 ,,14950 ,2 ,
2018/2/5,06_外貨預金,PC,RT,GDN,S4.申込フォーム離脱_STEP2,-,458 ,1 ,,290 ,,
2018/2/5,04_海外での利用,SP,RT,YDN,S2.コンテンツ離脱,31日～90日,5592 ,6 ,,514 ,,
2018/2/5,05_海外への送金,SP,Listing,Google,,,29 ,1 ,,534 ,2 ,
2018/2/5,04_海外での利用,PC,RT,YDN,S2.コンテンツ離脱,31日～90日,19323 ,3 ,1 ,498 ,,
2018/2/5,06_外貨預金,SP,RT,YDN,S3.口座開設詳細離脱,8日～15日,173 ,0 ,,0 ,,
2018/2/5,04_海外での利用,SP,RT,YDN,S2.コンテンツ離脱,1日,4630 ,3 ,,414 ,,
2018/2/5,01_指名,PC,Listing,Y!PSD,-,-,609 ,10 ,,8928 ,,
2018/2/5,01_指名,SP,Listing,Y!PSD,-,-,246 ,1 ,,8928 ,,
